epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5359.75,0.00996,0.01873,2.59161,1.46297,0.60945,0.34955,0.32419,0.15866,0.60515,0.34709,0.32361,0.14606,0.01184,0.01949,2.46523,1.66492,0.001739,0.001739,0.001739
31,5545.85,0.00996,0.01844,2.53201,1.47776,0.41325,0.3081,0.28223,0.14197,0.42782,0.31478,0.2907,0.13021,0.01189,0.01936,2.5859,1.68857,0.00173,0.00173,0.00173
32,5731.94,0.00986,0.0183,2.55127,1.45682,0.39396,0.32314,0.27688,0.1339,0.40239,0.33462,0.29278,0.12616,0.01187,0.02005,2.57554,1.68322,0.001721,0.001721,0.001721
33,5917.86,0.00974,0.01821,2.48318,1.41731,0.33864,0.27383,0.27315,0.13766,0.33766,0.27258,0.26915,0.12286,0.01186,0.0192,2.49463,1.66902,0.001712,0.001712,0.001712
34,6101.84,0.00951,0.01788,2.42934,1.42325,0.3799,0.25633,0.28384,0.14945,0.38985,0.26569,0.28699,0.12989,0.01156,0.01975,2.53847,1.62199,0.001703,0.001703,0.001703
35,6292.7,0.00964,0.01816,2.46794,1.44931,0.41232,0.33024,0.29093,0.14337,0.41044,0.33258,0.29017,0.12757,0.01195,0.01963,2.55811,1.69818,0.001694,0.001694,0.001694
36,6476.37,0.00976,0.01839,2.47746,1.44507,0.42906,0.28293,0.28884,0.13765,0.43313,0.2828,0.28595,0.12794,0.01206,0.01955,2.62422,1.70036,0.001685,0.001685,0.001685
37,6662.39,0.00944,0.01799,2.4375,1.44387,0.4951,0.26247,0.31228,0.16117,0.50603,0.26869,0.32168,0.15185,0.01142,0.01862,2.44029,1.6644,0.001676,0.001676,0.001676
38,6847.87,0.00977,0.01816,2.43816,1.42794,0.39648,0.31173,0.29044,0.14413,0.50382,0.2317,0.28705,0.13374,0.01192,0.01958,2.47974,1.67491,0.001667,0.001667,0.001667
39,7026.53,0.00971,0.01795,2.42572,1.44316,0.32958,0.29291,0.2945,0.13978,0.32715,0.30316,0.29982,0.13571,0.01159,0.01948,2.43007,1.64305,0.001658,0.001658,0.001658
40,7203.07,0.00949,0.01795,2.38521,1.41787,0.29797,0.29572,0.29209,0.14964,0.30232,0.29924,0.29755,0.13154,0.01178,0.01939,2.4512,1.6665,0.001649,0.001649,0.001649
41,7383.51,0.00962,0.01794,2.39383,1.42443,0.43569,0.34294,0.30318,0.15305,0.42395,0.34094,0.30127,0.14005,0.01146,0.01929,2.42816,1.62501,0.00164,0.00164,0.00164
42,7560.84,0.00937,0.01765,2.37141,1.40894,0.28414,0.27859,0.27232,0.13636,0.31868,0.26398,0.28219,0.12514,0.01164,0.01919,2.51828,1.67329,0.001631,0.001631,0.001631
43,7738.46,0.00934,0.01769,2.33641,1.36738,0.36439,0.3059,0.304,0.16565,0.38202,0.31169,0.30722,0.15233,0.01154,0.01945,2.44531,1.61451,0.001622,0.001622,0.001622
44,7920.69,0.00956,0.01785,2.41916,1.44592,0.59948,0.29082,0.31197,0.163,0.59442,0.2852,0.30735,0.15088,0.0116,0.01934,2.42085,1.64552,0.001613,0.001613,0.001613
45,8101.02,0.00944,0.01781,2.3612,1.41198,0.38889,0.25435,0.30428,0.15824,0.40056,0.25561,0.30911,0.13425,0.01187,0.02013,2.44448,1.66245,0.001604,0.001604,0.001604
46,8284.71,0.00954,0.01818,2.37433,1.40432,0.46031,0.35257,0.3126,0.1606,0.46334,0.34814,0.32,0.1441,0.01164,0.01877,2.38177,1.63445,0.001595,0.001595,0.001595
47,8466.88,0.0094,0.01802,2.36352,1.38444,0.5087,0.33523,0.32285,0.1711,0.51117,0.33933,0.31993,0.15888,0.01155,0.01897,2.36233,1.64999,0.001586,0.001586,0.001586
48,8650.04,0.0094,0.01795,2.34466,1.41616,0.45523,0.38263,0.3294,0.17233,0.42913,0.35858,0.31613,0.14882,0.01196,0.02012,2.36229,1.67233,0.001577,0.001577,0.001577
49,8836.6,0.00934,0.01747,2.29159,1.39085,0.42477,0.32464,0.30091,0.15025,0.4233,0.33107,0.30081,0.13832,0.01179,0.0194,2.41618,1.65787,0.001568,0.001568,0.001568
50,9014.73,0.00951,0.01808,2.33294,1.414,0.40951,0.38065,0.30487,0.15028,0.40636,0.37819,0.30825,0.14176,0.01206,0.01887,2.50657,1.67494,0.001559,0.001559,0.001559
51,9194.99,0.00937,0.01751,2.25064,1.40424,0.32155,0.33581,0.30443,0.15305,0.3201,0.33433,0.30415,0.13623,0.01142,0.01963,2.47135,1.60473,0.00155,0.00155,0.00155
52,9375.11,0.00935,0.01798,2.24985,1.4009,0.46568,0.287,0.3056,0.15708,0.46463,0.28645,0.30793,0.1381,0.01175,0.01922,2.43779,1.63576,0.001541,0.001541,0.001541
53,9555.64,0.00929,0.01754,2.23294,1.38116,0.33573,0.38119,0.32747,0.16579,0.33335,0.37811,0.33206,0.13537,0.01155,0.02006,2.36253,1.60719,0.001532,0.001532,0.001532
54,9738.86,0.00915,0.01754,2.27777,1.39097,0.44911,0.33491,0.33904,0.17864,0.45605,0.33126,0.34561,0.15876,0.01157,0.01875,2.35762,1.63591,0.001523,0.001523,0.001523
55,9922.15,0.00939,0.01813,2.31096,1.36932,0.47121,0.2939,0.32134,0.16481,0.47531,0.29694,0.31838,0.14369,0.01178,0.01926,2.30276,1.63879,0.001514,0.001514,0.001514
