epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,5312.63,1.28783,4.99979,1.482,1.2545,0.42354,0.20488,0.2008,0.11385,0.01643,0.01538,0.00341,0.00063,1.55118,5.11568,1.79801,1.44841,0.000555833,0.000555833,0.000555833
30,5462.1,1.28422,4.99925,1.4597,1.25607,0.32806,0.25692,0.24009,0.13764,0.04252,0.04499,0.01268,0.00318,1.56542,5.1341,1.6398,1.45939,0.00054822,0.00054822,0.00054822
31,5643.5,1.27169,5.00131,1.43279,1.25787,0.37003,0.21914,0.23876,0.13825,0.05091,0.03042,0.01261,0.00364,1.47234,5.13256,1.67547,1.398,0.000540607,0.000540607,0.000540607
32,5830.45,1.24234,4.99171,1.38804,1.22144,0.28703,0.23653,0.21123,0.11376,0.02837,0.03574,0.0088,0.00272,1.53368,5.13443,1.69108,1.42422,0.000532994,0.000532994,0.000532994
33,6011.02,1.25586,4.98267,1.4113,1.23762,0.27973,0.23164,0.20685,0.10813,0.05907,0.05051,0.03019,0.01232,1.50533,5.11391,1.86483,1.40368,0.000525381,0.000525381,0.000525381
34,6200.96,1.21868,4.98598,1.32536,1.21521,0.52127,0.23757,0.21669,0.11798,0.1296,0.01888,0.00427,0.0008,1.58056,5.12441,1.76192,1.42599,0.000517768,0.000517768,0.000517768
35,6397.45,1.21964,4.9905,1.30923,1.21517,0.34115,0.21715,0.23648,0.12743,0.01362,0.01707,0.00664,0.002,1.59524,5.11781,1.72754,1.49817,0.000510155,0.000510155,0.000510155
36,6582.29,1.22856,4.97942,1.32328,1.21711,0.34411,0.2612,0.26186,0.14788,0.07073,0.02869,0.01366,0.00555,1.53879,5.08565,1.71268,1.43804,0.000502541,0.000502541,0.000502541
37,6769.54,1.20936,4.99254,1.2886,1.20995,0.41135,0.22019,0.22924,0.13092,0.17973,0.05051,0.03458,0.01223,1.5653,5.16684,1.7976,1.47367,0.000494928,0.000494928,0.000494928
38,6951.9,1.21399,4.97939,1.30183,1.20811,0.32725,0.25142,0.27579,0.15753,0.0523,0.03637,0.02126,0.00704,1.56128,5.1601,1.60429,1.43374,0.000487315,0.000487315,0.000487315
39,7129.96,1.18666,5.00923,1.21451,1.18293,0.26995,0.32915,0.24923,0.14114,0.04561,0.06583,0.02485,0.00475,1.58092,5.10432,1.64027,1.45477,0.000479702,0.000479702,0.000479702
40,7305.22,1.18029,4.99598,1.22957,1.18945,0.39303,0.20524,0.22516,0.12389,0.01951,0.02425,0.01366,0.00272,1.57143,5.1745,1.72311,1.43021,0.000472089,0.000472089,0.000472089
41,7490.74,1.13853,4.97588,1.17743,1.16196,0.3778,0.30391,0.24453,0.13763,0.04695,0.04577,0.01169,0.00245,1.50166,5.13561,1.63467,1.41497,0.000464476,0.000464476,0.000464476
42,7658.09,1.16124,4.99163,1.18809,1.18023,0.33199,0.28315,0.25518,0.14027,0.04452,0.05338,0.01715,0.00503,1.55982,5.11464,1.57575,1.45497,0.000456863,0.000456863,0.000456863
43,7848.92,1.12313,4.98138,1.12907,1.1425,0.38807,0.24277,0.25187,0.13901,0.105,0.04212,0.0279,0.00696,1.5751,5.15518,1.70853,1.45739,0.00044925,0.00044925,0.00044925
44,8039.52,1.1473,4.93297,1.17075,1.17058,0.3862,0.26113,0.26335,0.14288,0.1279,0.05921,0.02996,0.00937,1.56816,5.11525,1.57986,1.45887,0.000441637,0.000441637,0.000441637
45,8228.94,1.12824,5.00126,1.07889,1.15718,0.39489,0.273,0.25533,0.14415,0.08365,0.05212,0.02577,0.0081,1.5637,5.12886,1.60108,1.47174,0.000434024,0.000434024,0.000434024
46,8438.32,1.11214,4.95366,1.11417,1.1607,0.43366,0.22419,0.24592,0.13828,0.13084,0.07019,0.04963,0.01784,1.54957,5.15142,1.74473,1.44444,0.000426411,0.000426411,0.000426411
47,8618.91,1.12408,4.97403,1.08734,1.1456,0.40427,0.24873,0.27256,0.1583,0.24929,0.05636,0.05371,0.02179,1.54556,5.12224,1.61564,1.43829,0.000418797,0.000418797,0.000418797
